Pickup Date,Pickup Day,Pickup Time,Pickup Location,Vehicle,Rating
01-07-2014,Tuesday,12:15:00 AM, 100 Casals Pl Bronx,Skyline,4.896361577
01-07-2014,Tuesday,12:15:00 AM," 1010 Longfellow Ave Foxhurst, BX",Skyline,3.328250103
01-07-2014,Tuesday,12:15:00 AM," 1020 Trinity Ave Morrisania, BX",First Class,3.190028106
01-07-2014,Tuesday,12:15:00 AM,"5 FORDHAM HILL OVAL 2400 Sedgwick Ave Jerome, BX",First Class,3.972779121
01-07-2014,Tuesday,12:15:00 AM,"parkeo que esta en bedford park bkvd 2800 Goulden Ave Jerome, BX",Diplo,3.986465261
01-07-2014,Tuesday,12:15:00 AM,por la 212 st 4996 Broadway NYC,Diplo,4.784256876
01-07-2014,Tuesday,12:15:00 AM,starbuck  Fort Washington Ave NYC,American,3.836176909
01-07-2014,Tuesday,12:15:00 AM,suv de la larga  615 W 173 St NYC,Carmel,3.222410255
01-07-2014,Tuesday,12:15:00 AM,"timarin 3708 Riverdale Ave Kingsbridge, BX",Skyline,3.661164216
01-07-2014,Tuesday,12:16:00 AM, 1   Jacobus Pl NYC,First Class,3.991486764
01-07-2014,Tuesday,12:16:00 AM,"BASE 170 W Fordham Rd Jerome, BX",American,3.16334217
01-07-2014,Tuesday,12:16:00 AM,"ESQUINA SW W Kingsbridge Rd Jerome, BX",Skyline,3.822128186
01-07-2014,Tuesday,12:16:00 AM,pathmark 410 W 207 St NYC,First Class,3.698904764
01-07-2014,Tuesday,12:16:00 AM,por el PARKEO 156-20 Riverside Dr W NYC,First Class,4.67827695
01-07-2014,Tuesday,12:16:00 AM,por el parqueo 156-20 Riverside Dr NYC,Skyline,4.59565169
01-07-2014,Tuesday,12:16:00 AM,PS5  Dyckman St NYC,Diplo,3.694428925
01-07-2014,Tuesday,12:16:00 AM,taller de rico  W 133 St NYC,Carmel,4.820204589
01-07-2014,Tuesday,12:17:00 AM," 10 W Gun Hill Rd Williamsbridge, BX",Skyline,4.32981545
01-07-2014,Tuesday,12:17:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Skyline,4.574848258
01-07-2014,Tuesday,12:17:00 AM,salida 133st 95 Old Broadway NYC,Diplo,4.172745244
01-07-2014,Tuesday,12:17:00 AM,"sillouhette lounge  nw Broadway Kingsbridge, BX",Carmel,4.862046859
01-07-2014,Tuesday,12:17:00 AM,VERO WINE BAR  NW E 77 St NYC,Skyline,3.988851163
01-07-2014,Tuesday,12:18:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Skyline,4.263642662
01-07-2014,Tuesday,12:18:00 AM,"gap nw Cross County Mall YONKERS, NY.",Diplo,3.539640415
01-07-2014,Tuesday,12:18:00 AM,por cummings 4791 Broadway NYC,Carmel,3.042212347
01-07-2014,Tuesday,12:18:00 AM,por la 212th st  4996 Broadway NYC,Diplo,4.14330232
01-07-2014,Tuesday,12:18:00 AM,"the bridge tavern  nw Broadway Kingsbridge, BX",Skyline,4.320078313
01-07-2014,Tuesday,12:19:00 AM, 1 City Island Ave Bronx,First Class,3.47803572
01-07-2014,Tuesday,12:19:00 AM," 100 E Mosholu Pkwy S Fordham, BX",American,4.192217109
01-07-2014,Tuesday,12:19:00 AM," 1025 Aldus St Foxhurst, BX",Diplo,4.177890207
01-07-2014,Tuesday,12:19:00 AM,"6 FORDHAM HILL OVAL 2400 Sedgwick Ave Jerome, BX",Diplo,3.299673853
01-07-2014,Tuesday,12:19:00 AM,ESKINA NW W 150 St NYC,Diplo,3.688729447
01-07-2014,Tuesday,12:19:00 AM,JFK B6 ,First Class,3.643840426
01-07-2014,Tuesday,12:19:00 AM,por el frente 156-20 Riverside Dr W  NYC,First Class,4.286271083
01-07-2014,Tuesday,12:19:00 AM,"sale por 182nd st 2230 Grand Concourse Tremont, BX",First Class,4.346983987
01-07-2014,Tuesday,12:19:00 AM,stop & shop supermarket 5716 Broadway Bronx,Carmel,4.077797356
01-07-2014,Tuesday,12:19:00 AM,"tin marin rest 3708 Riverdale Ave Kingsbridge, BX",First Class,3.714633144
01-07-2014,Tuesday,12:19:00 AM,tren 1 nw Broadway NYC,American,3.569779089
01-07-2014,Tuesday,12:20:00 AM," 1000 Pelham Pkwy S Morris Park, BX",American,4.649149448
01-07-2014,Tuesday,12:20:00 AM,"BARBERIA 23 W 184th St Jerome, BX",Prestige,3.631635478
01-07-2014,Tuesday,12:20:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Diplo,4.832429182
01-07-2014,Tuesday,12:20:00 AM,"don coqui 565 City Island Ave City Island, BX",First Class,3.73336065
01-07-2014,Tuesday,12:20:00 AM,por el rio 156-08 Riverside Dr W NYC,Skyline,4.872715016
01-07-2014,Tuesday,12:20:00 AM,"stop n shop nw Broadway Kingsbridge, BX",American,3.657505293
01-07-2014,Tuesday,12:21:00 AM," 100 Carver Lp Co-Op City, BX",Skyline,3.944216468
01-07-2014,Tuesday,12:21:00 AM," 1012 Pierce Ave Parkchester, BX",First Class,4.655142744
01-07-2014,Tuesday,12:21:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Prestige,3.540706121
01-07-2014,Tuesday,12:21:00 AM,vacca lounge 416 W 203 St NYC,Skyline,3.819915783
01-07-2014,Tuesday,12:21:00 AM,VERO WINE BAR  NW E 77 St NYC,First Class,4.368632333
01-07-2014,Tuesday,12:22:00 AM, 1  TEST Bronx,First Class,4.707465494
01-07-2014,Tuesday,12:22:00 AM," 1 E 198th St Jerome, BX",Skyline,3.815298229
01-07-2014,Tuesday,12:22:00 AM," 100 Benchley Pl Co-Op City, BX",First Class,3.923649253
01-07-2014,Tuesday,12:22:00 AM,"584 Pugsley Avenue, Bronx, NY 10473 584 Pugsley Ave Bronx",Diplo,4.497219765
01-07-2014,Tuesday,12:23:00 AM," 100 Bellamy Lp Co-Op City, BX",Diplo,3.620774732
01-07-2014,Tuesday,12:23:00 AM," 1038 Lowell St Foxhurst, BX",Prestige,3.036799511
01-07-2014,Tuesday,12:23:00 AM,"BARBERIA GREÒA 2386 Davidson Ave Jerome, BX",Diplo,4.607504227
01-07-2014,Tuesday,12:23:00 AM,por cummings 4791 Broadway NYC,Diplo,4.275320171
01-07-2014,Tuesday,12:23:00 AM,vacca lounge 416 W 203 St NYC,Skyline,3.917490992
01-07-2014,Tuesday,12:24:00 AM," 1011 Washington Ave Morrisania, BX",Skyline,3.545857662
01-07-2014,Tuesday,12:24:00 AM," 1038 Boston Rd Morrisania, BX",Diplo,4.797160266
01-07-2014,Tuesday,12:24:00 AM," 1042 Rev James A Polite Ave Foxhurst, BX",Prestige,4.665734738
01-07-2014,Tuesday,12:24:00 AM,"9 FORDHAM HILL OVAL 2400 Sedgwick Ave Jerome, BX",Skyline,3.893211634
01-07-2014,Tuesday,12:24:00 AM,"ESQUINA NE Hoe Ave Westfarms, BX",Skyline,3.071609475
01-07-2014,Tuesday,12:24:00 AM,por el frente 150 W 225 St NYC,First Class,4.916129562
01-07-2014,Tuesday,12:24:00 AM,tao restaurant 251 Dyckman St NYC,First Class,3.644521342
01-07-2014,Tuesday,12:25:00 AM," 1 Bedford Park Blvd Jerome, BX",First Class,4.304448468
01-07-2014,Tuesday,12:25:00 AM,556 Hudson St Nyc,Carmel,4.537899893
01-07-2014,Tuesday,12:25:00 AM,"5-8g fordham hill 2400 Sedgwick Ave Jerome, BX",First Class,4.278221792
01-07-2014,Tuesday,12:25:00 AM,"abjao del tren nw Jerome Ave Jerome, BX",American,4.224837399
01-07-2014,Tuesday,12:25:00 AM,"la gomera nw E 149th St Cortlandt, BX",Prestige,3.833161744
01-07-2014,Tuesday,12:25:00 AM,"marisco centro 610 Exterior St Cortlandt, BX",First Class,3.72988231
01-07-2014,Tuesday,12:25:00 AM,salida 213 st 5008 Broadway NYC,Diplo,3.214794315
01-07-2014,Tuesday,12:25:00 AM,ttarget entrada de empleado 40 W 225 St NYC,Diplo,3.434561692
01-07-2014,Tuesday,12:26:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Carmel,4.763215138
01-07-2014,Tuesday,12:26:00 AM,on the back 157-10 Riverside Dr NYC,Skyline,3.412889157
01-07-2014,Tuesday,12:26:00 AM,por cummings 4791 Broadway NYC,First Class,4.256798319
01-07-2014,Tuesday,12:26:00 AM,"SALSA CON FUEGO  Cedar Ave Jerome, BX",First Class,4.205147063
01-08-2014,Friday,12:26:00 AM,"  E 138th St Mott Haven, BX",First Class,3.401002414
01-08-2014,Friday,12:26:00 AM,"  E 146th St South Bronx, BX",First Class,3.271751835
01-08-2014,Friday,12:26:00 AM,"  W Fordham Rd Jerome, BX",First Class,3.501573206
01-08-2014,Friday,12:26:00 AM," 100 Van Cortlandt Park S Kingsbridge, BX",Skyline,4.815560768
01-08-2014,Friday,12:26:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Skyline,4.882437908
01-08-2014,Friday,12:26:00 AM,salon 4996 Broadway NYC,Skyline,3.877792374
01-08-2014,Friday,12:26:00 AM,tao restaurant 251 Dyckman St NYC,First Class,4.45465969
01-08-2014,Friday,12:27:00 AM," 100 Aldrich St Co-Op City, BX",Skyline,4.237146365
01-08-2014,Friday,12:27:00 AM," 1027 Leggett Ave South Bronx, BX",First Class,4.477799128
01-08-2014,Friday,12:27:00 AM," 1038 Rev James A Polite Ave Foxhurst, BX",Skyline,3.950202995
01-08-2014,Friday,12:27:00 AM,APPLEBEE*S 70 W 225 St NYC,Skyline,3.510284479
01-08-2014,Friday,12:27:00 AM,"BARBERIA GREÒA 2386 Davidson Ave Jerome, BX",Prestige,3.570606315
01-08-2014,Friday,12:27:00 AM,"POR LOS CABALLOS 810 Yonkers Ave YONKERS, NY.",Skyline,4.126466739
01-08-2014,Friday,12:27:00 AM,PORT AUTORITY SW 8 Ave NYC,First Class,3.23561083
01-08-2014,Friday,12:27:00 AM,royalty barber shop 588 W 207 St NYC,First Class,4.422596756
01-08-2014,Friday,12:27:00 AM,squina nw Madison Ave NYC,American,4.706513678
01-08-2014,Friday,12:27:00 AM,"walgreens pharmacy ne   Broadway Kingsbridge, BX",Skyline,4.926826775
01-08-2014,Friday,12:28:00 AM,"  Brook Ave South Bronx, BX",Diplo,3.004348162
01-08-2014,Friday,12:28:00 AM,"  Station Plz NEW ROCHELLE, NY.",Skyline,4.940883356
01-08-2014,Friday,12:28:00 AM," 10 W 182nd St Morris Heights, BX",Skyline,3.253135289
01-08-2014,Friday,12:28:00 AM,"9 FORDHAM  2400 Sedgwick Ave Jerome, BX",First Class,4.241595166
01-08-2014,Friday,12:28:00 AM,por la 134 st// rivers 3333 Broadway NYC,Prestige,3.719305415
01-08-2014,Friday,12:28:00 AM,presidente rest  sw Broadway NYC,Prestige,4.697255245
01-08-2014,Friday,12:28:00 AM,SAOS RESTAURANT  NW Dyckman St NYC,Skyline,4.509314369
01-08-2014,Friday,12:28:00 AM,"squina sw Broadway Kingsbridge, BX",Skyline,3.394497515
01-08-2014,Friday,12:28:00 AM,supermercado ne Broadway NYC,Skyline,3.204615035
01-08-2014,Friday,12:29:00 AM,"  City Island Ave South Bronx, BX",First Class,3.515119306
01-08-2014,Friday,12:29:00 AM,IN THE FRONT//CREIT CARD 157-10 Riverside Dr NYC,Skyline,3.654236457
01-08-2014,Friday,12:29:00 AM,"POR FUERA 1065 University Ave High Bridge, BX",Skyline,3.567730276
01-08-2014,Friday,12:29:00 AM,por riverside 3333 Broadway NYC,Skyline,4.628392501
01-08-2014,Friday,12:30:00 AM,55 W 25 St Nyc,Skyline,3.457908152
01-08-2014,Friday,12:30:00 AM,552 W 38 St Nyc,Skyline,3.334056543
01-08-2014,Friday,12:30:00 AM,9A lounge 2331 12 Ave NYC,First Class,4.119782668
01-08-2014,Friday,12:30:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Diplo,4.436323913
01-08-2014,Friday,12:30:00 AM,"BASE 170 W Fordham Rd Jerome, BX",First Class,4.352831338
01-08-2014,Friday,12:30:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Skyline,3.394200336
01-08-2014,Friday,12:30:00 AM,"MINIVAN 2180 Davidson Ave Morris Heights, BX",Skyline,3.538642595
01-08-2014,Friday,12:30:00 AM,principal/hospital sw Broadway NYC,Skyline,3.375446091
01-08-2014,Friday,12:30:00 AM,"SEA FOOD CITY 459 City Island Ave City Island, BX",Skyline,4.736710283
01-08-2014,Friday,12:31:00 AM,DEEGAN MOTEL 3600 Bailey Ave Bronx,Prestige,3.231862754
01-08-2014,Friday,12:31:00 AM,suv  701 W 135 St NYC,Diplo,3.031798155
01-08-2014,Friday,12:32:00 AM," 100 Co Op City Blvd Co-Op City, BX",Skyline,4.818479652
